id,groupid,item_tid,possibility
1000001,1010101,4000001,1000
1000002,1010101,4000002,1000
1000003,1010101,4000003,1000
1000004,1010101,4000101,1000
1000005,1010101,4000102,1000
1000006,1010101,4000103,1000
1000011,1010102,20000001,2000
1000012,1010102,20000002,2000
1000013,1010102,20000003,4000
1000014,1010102,20000004,4000
1000015,1010102,20000005,100
1000016,1010102,20000006,100
1000021,1010103,20000001,30
1000022,1010103,20000002,30
1000023,1010103,20000003,30
1000024,1010103,20000004,30
1000025,1010103,20000005,30
1000026,1010103,20000006,30
